ARS-SRPN_WOLFFORTH,33.5068,-102.0096,town,WOLFFORTH
ARS-SRPN_YANTIS,32.9312,-95.5786,town,YANTIS
ARS-SRPN_YORKTOWN,28.9822,-97.5022,town,YORKTOWN
ARS-SRPN_ABERNATHY_TX,33.8323,-101.8429,town,ABERNATHY
ARS-SRPN_ACUFF,33.6001,-101.6504,town,ACUFF
ARS-SRPN_ALBANY_TX,32.7237,-99.2976,town,ALBANY
ARS-SRPN_ANTON,33.8112,-102.1630,town,ANTON
ARS-SRPN_BOVINA,34.5134,-102.8830,town,BOVINA
ARS-SRPN_BRONTE,31.8874,-100.2920,town,BRONTE
ARS-SRPN_CARLSBAD,32.4207,-104.2288,town,CARLSBAD
ARS-SRPN_CLAIREMONT,33.1551,-100.7504,town,CLAIREMONT
ARS-SRPN_CLARENDON,34.9373,-100.8921,town,CLARENDON
ARS-SRPN_CROSBYTON,33.6601,-101.2379,town,CROSBYTON
ARS-SRPN_DOOLITTLE,26.3167,-98.1333,town,DOOLITTLE
ARS-SRPN_ELECTRA,34.0298,-98.9181,town,ELECTRA
ARS-SRPN_FARWELL,34.3834,-103.0330,town,FARWELL
ARS-SRPN_FRIONA,34.6412,-102.7244,town,FRIONA
ARS-SRPN_GOLTRY,36.5295,-98.1131,town,GOLTRY
ARS-SRPN_GOREE,33.4673,-99.5256,town,GOREE
ARS-SRPN_HART,34.3851,-102.1141,town,HART
ARS-SRPN_HARTLEY,35.8967,-102.3877,town,HARTLEY
ARS-SRPN_HENRIETTA,33.8173,-98.1953,town,HENRIETTA
ARS-SRPN_IDALOU,33.6640,-101.6827,town,IDALOU
ARS-SRPN_JACKSBORO,33.2187,-98.1589,town,JACKSBORO
ARS-SRPN_JERMYN,33.3462,-98.8934,town,JERMYN
ARS-SRPN_KRESS,34.3701,-101.7488,town,KRESS
ARS-SRPN_LAZBUDDIE,34.3934,-102.8227,town,LAZBUDDIE
ARS-SRPN_LIPSCOMB,36.2320,-100.2707,town,LIPSCOMB
